Report Number,Date Reported,Date of Occurrence,City,Latitude,Longitude,Crime Description,Clean Category,Victim Age,Victim Gender,Weapon Used,Crime Domain,Severity,Case Closed,Date Case Closed,Crime_Hour,Crime_DayOfWeek,Crime_Month,Is_Weekend,Weapon_Risk,Lat_Round,Lon_Round,Area_Crime_Count,Area_Avg_Severity,Risk_Score,Hotspot_Level,Crime_Time_Period
2472,2020-04-13 14:00,2020-12-04 23:00:00,Chennai,13.0827,80.2707,PUBLIC INTOXICATION,Other,77,F,,Other Crime,1,No,,23,Friday,12,0,2.0,13.083,80.271,2493.0,2.4091456077015643,998.3227436823104,High,Night
2473,2020-04-14 12:00,2020-04-13 00:00:00,Mumbai,19.076,72.8777,ARSON,Other,46,F,Poison,Fire Accident,1,Yes,2020-07-09 12:00,0,Monday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Night
2474,2020-04-14 13:00,2020-04-13 01:00:00,Pune,18.5204,73.8567,VANDALISM,Vandalism,12,M,Blunt Object,Other Crime,2,Yes,2020-06-01 13:00,1,Monday,4,0,3.0,18.52,73.857,2212.0,2.3589511754068715,886.1076853526222,High,Night
2475,2020-04-15 01:00,2020-04-13 02:00:00,Lucknow,26.8467,80.9462,EXTORTION,Other,27,F,Other,Other Crime,1,No,,2,Monday,4,0,2.0,26.847,80.946,1456.0,2.3777472527472527,583.5133241758241,High,Night
2476,2020-04-13 16:00,2020-04-13 03:00:00,Hyderabad,17.385,78.4867,IDENTITY THEFT,Identity Theft,31,F,Explosives,Violent Crime,2,Yes,2020-05-04 16:00,3,Monday,4,0,2.0,17.385,78.487,2881.0,2.393960430406109,1153.518188129122,,Night
2477,2020-04-15 06:00,2020-04-13 04:00:00,Mumbai,19.076,72.8777,DOMESTIC VIOLENCE,Other,49,F,Firearm,Violent Crime,5,Yes,2020-07-13 06:00,4,Monday,4,0,5.0,19.076,72.878,4415.0,2.3966024915062287,1767.718980747452,,Night
2478,2020-04-13 09:00,2020-04-13 05:00:00,Bangalore,12.9716,77.5946,BURGLARY,Burglary,75,F,Other,Other Crime,3,No,,5,Monday,4,0,2.0,12.972,77.595,3588.0,2.38015607580825,1436.3140468227425,,Morning
2479,2020-04-15 00:00,2020-04-13 06:00:00,Bangalore,12.9716,77.5946,DOMESTIC VIOLENCE,Other,40,F,Poison,Violent Crime,5,Yes,2020-05-04 00:00,6,Monday,4,0,2.0,12.972,77.595,3588.0,2.38015607580825,1436.3140468227425,,Morning
2480,2020-04-16 06:00,2020-04-13 07:00:00,Faridabad,,,FIREARM OFFENSE,Other,47,F,Knife,Fire Accident,1,Yes,2020-04-23 06:00,7,Monday,4,0,3.0,,,,,,,Morning
2481,2020-04-15 11:00,2020-04-13 08:00:00,Mumbai,19.076,72.8777,KIDNAPPING,Kidnapping,29,F,Blunt Object,Other Crime,4,Yes,2020-06-25 11:00,8,Monday,4,0,3.0,19.076,72.878,4415.0,2.3966024915062287,1767.318980747452,,Morning
2482,2020-04-15 09:00,2020-04-13 09:00:00,Hyderabad,17.385,78.4867,ILLEGAL POSSESSION,Other,60,F,Knife,Other Crime,1,Yes,2020-06-15 09:00,9,Monday,4,0,3.0,17.385,78.487,2881.0,2.393960430406109,1153.718188129122,,Morning
2483,2020-04-15 16:00,2020-04-13 10:00:00,Lucknow,26.8467,80.9462,DRUG OFFENSE,Other,25,F,Knife,Other Crime,1,Yes,2020-05-30 16:00,10,Monday,4,0,3.0,26.847,80.946,1456.0,2.3777472527472527,583.7133241758241,High,Morning
2484,2020-04-14 13:00,2020-04-13 11:00:00,Mumbai,19.076,72.8777,ILLEGAL POSSESSION,Other,19,F,Knife,Other Crime,1,No,,11,Monday,4,0,3.0,19.076,72.878,4415.0,2.3966024915062287,1767.318980747452,,Morning
2485,2020-04-14 03:00,2020-04-13 12:00:00,Bangalore,12.9716,77.5946,DOMESTIC VIOLENCE,Other,19,M,Knife,Violent Crime,5,No,,12,Monday,4,0,3.0,12.972,77.595,3588.0,2.38015607580825,1436.5140468227423,,Afternoon
2486,2020-04-16 10:00,2020-04-13 13:00:00,Chennai,13.0827,80.2707,KIDNAPPING,Kidnapping,34,F,Explosives,Other Crime,4,No,,13,Monday,4,0,2.0,13.083,80.271,2493.0,2.4091456077015643,998.3227436823104,High,Afternoon
2487,2020-04-14 07:00,2020-04-13 14:00:00,Pune,18.5204,73.8567,SEXUAL ASSAULT,Assault,29,M,Blunt Object,Violent Crime,5,Yes,2021-05-17 07:00,14,Monday,4,0,3.0,18.52,73.857,2212.0,2.3589511754068715,886.1076853526222,High,Afternoon
2488,2020-04-15 19:00,2020-04-13 15:00:00,Visakhapatnam,17.6868,83.2185,SHOPLIFTING,Other,21,F,Other,Other Crime,1,No,,15,Monday,4,0,2.0,17.687,83.218,728.0,2.342032967032967,292.30260989010986,High,Afternoon
2489,2020-04-14 20:00,2020-04-13 16:00:00,Kolkata,22.5726,88.3639,ROBBERY,Robbery,64,F,Knife,Violent Crime,3,No,,16,Monday,4,0,3.0,22.573,88.364,2518.0,2.3669579030976964,1008.5100873709292,,Afternoon
2490,2020-04-15 16:00,2020-04-13 17:00:00,Nagpur,21.1458,79.0882,SHOPLIFTING,Other,72,M,Poison,Other Crime,1,Yes,2020-06-23 16:00,17,Monday,4,0,2.0,21.146,79.088,1053.0,2.375118708452042,422.3125356125356,High,Evening
2491,2020-04-15 00:00,2020-04-13 18:00:00,Delhi,28.7041,77.1025,VEHICLE - STOLEN,Other,20,F,Knife,Violent Crime,5,Yes,2020-04-23 00:00,18,Monday,4,0,3.0,28.704,77.102,5400.0,2.385925925925926,2161.315777777778,,Evening
2492,2020-04-14 13:00,2020-04-13 19:00:00,Mumbai,19.076,72.8777,SEXUAL ASSAULT,Assault,11,M,Other,Violent Crime,5,No,,19,Monday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Evening
2493,2020-04-15 04:00,2020-04-13 20:00:00,Bhopal,23.2599,77.4126,FRAUD,Other,26,F,Knife,Other Crime,1,Yes,2020-07-07 04:00,20,Monday,4,0,3.0,23.26,77.413,690.0,2.408695652173913,277.3226086956522,High,Evening
2494,2020-04-14 02:00,2020-04-13 21:00:00,Hyderabad,17.385,78.4867,TRAFFIC VIOLATION,Other,32,M,Firearm,Traffic Fatality,1,Yes,2020-05-01 02:00,21,Monday,4,0,5.0,17.385,78.487,2881.0,2.393960430406109,1154.118188129122,,Night
2495,2020-04-16 03:00,2020-04-13 22:00:00,Ludhiana,30.9,75.8573,FRAUD,Other,33,F,Knife,Other Crime,1,Yes,2020-04-28 03:00,22,Monday,4,0,3.0,30.9,75.857,761.0,2.3955321944809462,305.71865965834434,High,Night
2496,2020-04-15 17:00,2020-04-13 23:00:00,Ahmedabad,23.0225,72.5714,KIDNAPPING,Kidnapping,22,F,Explosives,Other Crime,4,Yes,2020-04-22 17:00,23,Monday,4,0,2.0,23.022,72.571,1817.0,2.4446890478811225,727.9334067143644,High,Night
2497,2020-04-16 12:00,2020-04-14 00:00:00,Jaipur,26.9124,75.7873,ARSON,Other,77,F,Blunt Object,Fire Accident,1,No,,0,Tuesday,4,0,3.0,26.912,75.787,1479.0,2.310344827586207,592.893103448276,High,Night
2498,2020-04-14 05:00,2020-04-14 01:00:00,Delhi,28.7041,77.1025,BURGLARY,Burglary,63,M,Blunt Object,Other Crime,3,Yes,2020-06-14 05:00,1,Tuesday,4,0,3.0,28.704,77.102,5400.0,2.385925925925926,2161.315777777778,,Night
2499,2020-04-15 13:00,2020-04-14 02:00:00,Delhi,28.7041,77.1025,ROBBERY,Robbery,67,M,Firearm,Violent Crime,3,Yes,2020-09-19 13:00,2,Tuesday,4,0,5.0,28.704,77.102,5400.0,2.385925925925926,2161.715777777778,,Night
2500,2020-04-16 05:00,2020-04-14 03:00:00,Kanpur,26.4499,80.3319,COUNTERFEITING,Other,74,F,,Other Crime,1,Yes,2020-07-07 05:00,3,Tuesday,4,0,2.0,26.45,80.332,1112.0,2.372302158273381,445.911690647482,High,Night
2501,2020-04-17 03:00,2020-04-14 04:00:00,Delhi,28.7041,77.1025,ILLEGAL POSSESSION,Other,13,M,Explosives,Other Crime,1,No,,4,Tuesday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Night
2502,2020-04-14 12:00,2020-04-14 05:00:00,Chennai,13.0827,80.2707,ILLEGAL POSSESSION,Other,67,F,Firearm,Other Crime,1,No,,5,Tuesday,4,0,5.0,13.083,80.271,2493.0,2.4091456077015643,998.9227436823104,High,Morning
2503,2020-04-15 09:00,2020-04-14 06:00:00,Thane,,,VANDALISM,Vandalism,35,F,Knife,Other Crime,2,No,,6,Tuesday,4,0,3.0,,,,,,,Morning
2504,2020-04-16 14:00,2020-04-14 07:00:00,Jaipur,26.9124,75.7873,IDENTITY THEFT,Identity Theft,12,F,,Violent Crime,2,Yes,2020-05-26 14:00,7,Tuesday,4,0,2.0,26.912,75.787,1479.0,2.310344827586207,592.6931034482759,High,Morning
2505,2020-04-17 04:00,2020-04-14 08:00:00,Kalyan,,,VANDALISM,Vandalism,64,M,Blunt Object,Other Crime,2,Yes,2020-06-07 04:00,8,Tuesday,4,0,3.0,,,,,,,Morning
2506,2020-04-15 03:00,2020-04-14 09:00:00,Delhi,28.7041,77.1025,KIDNAPPING,Kidnapping,20,F,Poison,Other Crime,4,No,,9,Tuesday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Morning
2507,2020-04-15 07:00,2020-04-14 10:00:00,Delhi,28.7041,77.1025,DOMESTIC VIOLENCE,Other,36,M,Explosives,Violent Crime,5,Yes,2020-07-09 07:00,10,Tuesday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Morning
2508,2020-04-15 06:00,2020-04-14 11:00:00,Jaipur,26.9124,75.7873,SEXUAL ASSAULT,Assault,33,F,,Violent Crime,5,Yes,2021-08-12 06:00,11,Tuesday,4,0,2.0,26.912,75.787,1479.0,2.310344827586207,592.6931034482759,High,Morning
2509,2020-04-17 06:00,2020-04-14 12:00:00,Delhi,28.7041,77.1025,DOMESTIC VIOLENCE,Other,63,M,Explosives,Violent Crime,5,No,,12,Tuesday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Afternoon
2510,2020-04-14 14:00,2020-04-14 13:00:00,Pune,18.5204,73.8567,VEHICLE - STOLEN,Other,52,M,Firearm,Violent Crime,5,Yes,2020-06-18 14:00,13,Tuesday,4,0,5.0,18.52,73.857,2212.0,2.3589511754068715,886.5076853526222,High,Afternoon
2511,2020-04-16 05:00,2020-04-14 14:00:00,Mumbai,19.076,72.8777,SHOPLIFTING,Other,69,F,Other,Other Crime,1,Yes,2020-07-13 05:00,14,Tuesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Afternoon
2512,2020-04-15 05:00,2020-04-14 15:00:00,Nashik,,,KIDNAPPING,Kidnapping,25,F,,Other Crime,4,No,,15,Tuesday,4,0,2.0,,,,,,,Afternoon
2513,2020-04-16 07:00,2020-04-14 16:00:00,Kanpur,26.4499,80.3319,ARSON,Other,36,M,Other,Fire Accident,1,Yes,2020-05-06 07:00,16,Tuesday,4,0,2.0,26.45,80.332,1112.0,2.372302158273381,445.911690647482,High,Afternoon
2514,2020-04-16 03:00,2020-04-14 17:00:00,Chennai,13.0827,80.2707,ILLEGAL POSSESSION,Other,72,F,Poison,Other Crime,1,No,,17,Tuesday,4,0,2.0,13.083,80.271,2493.0,2.4091456077015643,998.3227436823104,High,Evening
2515,2020-04-15 03:00,2020-04-14 18:00:00,Mumbai,19.076,72.8777,VANDALISM,Vandalism,77,F,Explosives,Other Crime,2,No,,18,Tuesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Evening
2516,2020-04-15 21:00,2020-04-14 19:00:00,Nagpur,21.1458,79.0882,ILLEGAL POSSESSION,Other,21,F,,Other Crime,1,Yes,2020-05-22 21:00,19,Tuesday,4,0,2.0,21.146,79.088,1053.0,2.375118708452042,422.3125356125356,High,Evening
2517,2020-04-15 14:00,2020-04-14 20:00:00,Mumbai,19.076,72.8777,ILLEGAL POSSESSION,Other,58,F,Explosives,Other Crime,1,Yes,2020-06-01 14:00,20,Tuesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Evening
2518,2020-04-16 11:00,2020-04-14 21:00:00,Ghaziabad,28.6692,77.4538,ILLEGAL POSSESSION,Other,25,F,Poison,Other Crime,1,No,,21,Tuesday,4,0,2.0,28.669,77.454,704.0,2.375,282.7125,High,Night
2519,2020-04-15 11:00,2020-04-14 22:00:00,Surat,21.1702,72.8311,KIDNAPPING,Kidnapping,62,M,Blunt Object,Other Crime,4,Yes,2020-05-19 11:00,22,Tuesday,4,0,3.0,21.17,72.831,1111.0,2.2997299729973,445.6899189918992,High,Night
2520,2020-04-15 07:00,2020-04-14 23:00:00,Surat,21.1702,72.8311,VEHICLE - STOLEN,Other,26,M,Firearm,Violent Crime,5,Yes,2020-04-29 07:00,23,Tuesday,4,0,5.0,21.17,72.831,1111.0,2.2997299729973,446.0899189918992,High,Night
2521,2020-04-16 06:00,2020-04-15 00:00:00,Vasai,,,SHOPLIFTING,Other,18,F,,Other Crime,1,No,,0,Wednesday,4,0,2.0,,,,,,,Night
2522,2020-04-16 21:00,2020-04-15 01:00:00,Delhi,28.7041,77.1025,DOMESTIC VIOLENCE,Other,27,M,Poison,Violent Crime,5,Yes,2020-06-10 21:00,1,Wednesday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Night
2523,2020-04-17 23:00,2020-04-15 02:00:00,Mumbai,19.076,72.8777,HOMICIDE,Homicide,66,F,Knife,Other Crime,5,No,,2,Wednesday,4,0,3.0,19.076,72.878,4415.0,2.3966024915062287,1767.318980747452,,Night
2524,2020-04-18 02:00,2020-04-15 03:00:00,Chennai,13.0827,80.2707,SHOPLIFTING,Other,28,M,Knife,Other Crime,1,Yes,2020-06-07 02:00,3,Wednesday,4,0,3.0,13.083,80.271,2493.0,2.4091456077015643,998.5227436823104,High,Night
2525,2020-04-15 07:00,2020-04-15 04:00:00,Pune,18.5204,73.8567,ROBBERY,Robbery,23,F,Firearm,Violent Crime,3,No,,4,Wednesday,4,0,5.0,18.52,73.857,2212.0,2.3589511754068715,886.5076853526222,High,Night
2526,2020-04-18 04:00,2020-04-15 05:00:00,Chennai,13.0827,80.2707,IDENTITY THEFT,Identity Theft,32,F,Knife,Violent Crime,2,Yes,2020-06-02 04:00,5,Wednesday,4,0,3.0,13.083,80.271,2493.0,2.4091456077015643,998.5227436823104,High,Morning
2527,2020-04-17 13:00,2020-04-15 06:00:00,Bhopal,23.2599,77.4126,IDENTITY THEFT,Identity Theft,10,M,,Violent Crime,2,No,,6,Wednesday,4,0,2.0,23.26,77.413,690.0,2.408695652173913,277.12260869565216,High,Morning
2528,2020-04-18 03:00,2020-04-15 07:00:00,Jaipur,26.9124,75.7873,HOMICIDE,Homicide,34,F,Other,Other Crime,5,No,,7,Wednesday,4,0,2.0,26.912,75.787,1479.0,2.310344827586207,592.6931034482759,High,Morning
2529,2020-04-17 20:00,2020-04-15 08:00:00,Kolkata,22.5726,88.3639,KIDNAPPING,Kidnapping,79,F,Explosives,Other Crime,4,Yes,2020-06-07 20:00,8,Wednesday,4,0,2.0,22.573,88.364,2518.0,2.3669579030976964,1008.3100873709292,,Morning
2530,2020-04-15 22:00,2020-04-15 09:00:00,Lucknow,26.8467,80.9462,PUBLIC INTOXICATION,Other,73,F,,Other Crime,1,Yes,2020-05-14 22:00,9,Wednesday,4,0,2.0,26.847,80.946,1456.0,2.3777472527472527,583.5133241758241,High,Morning
2531,2020-04-17 08:00,2020-04-15 10:00:00,Mumbai,19.076,72.8777,TRAFFIC VIOLATION,Other,10,M,,Traffic Fatality,1,Yes,2020-04-24 08:00,10,Wednesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Morning
2532,2020-04-18 04:00,2020-04-15 11:00:00,Mumbai,19.076,72.8777,FRAUD,Other,27,F,,Other Crime,1,Yes,2020-06-24 04:00,11,Wednesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Morning
2533,2020-04-16 23:00,2020-04-15 12:00:00,Bangalore,12.9716,77.5946,VANDALISM,Vandalism,72,F,Knife,Other Crime,2,Yes,2020-05-30 23:00,12,Wednesday,4,0,3.0,12.972,77.595,3588.0,2.38015607580825,1436.5140468227423,,Afternoon
2534,2020-04-18 02:00,2020-04-15 13:00:00,Srinagar,,,CYBERCRIME,Other,54,F,Firearm,Other Crime,1,No,,13,Wednesday,4,0,5.0,,,,,,,Afternoon
2535,2020-04-17 18:00,2020-04-15 14:00:00,Chennai,13.0827,80.2707,IDENTITY THEFT,Identity Theft,12,F,Poison,Violent Crime,2,Yes,2020-06-28 18:00,14,Wednesday,4,0,2.0,13.083,80.271,2493.0,2.4091456077015643,998.3227436823104,High,Afternoon
2536,2020-04-17 20:00,2020-04-15 15:00:00,Chennai,13.0827,80.2707,IDENTITY THEFT,Identity Theft,44,F,Explosives,Violent Crime,2,No,,15,Wednesday,4,0,2.0,13.083,80.271,2493.0,2.4091456077015643,998.3227436823104,High,Afternoon
2537,2020-04-17 09:00,2020-04-15 16:00:00,Nagpur,21.1458,79.0882,EXTORTION,Other,30,F,Firearm,Other Crime,1,No,,16,Wednesday,4,0,5.0,21.146,79.088,1053.0,2.375118708452042,422.9125356125356,High,Afternoon
2538,2020-04-15 21:00,2020-04-15 17:00:00,Lucknow,26.8467,80.9462,EXTORTION,Other,46,F,Knife,Other Crime,1,No,,17,Wednesday,4,0,3.0,26.847,80.946,1456.0,2.3777472527472527,583.7133241758241,High,Evening
2539,2020-04-17 14:00,2020-04-15 18:00:00,Pune,18.5204,73.8567,CYBERCRIME,Other,72,F,Knife,Other Crime,1,Yes,2020-07-02 14:00,18,Wednesday,4,0,3.0,18.52,73.857,2212.0,2.3589511754068715,886.1076853526222,High,Evening
2540,2020-04-15 23:00,2020-04-15 19:00:00,Pune,18.5204,73.8567,ARSON,Other,65,F,Poison,Fire Accident,1,No,,19,Wednesday,4,0,2.0,18.52,73.857,2212.0,2.3589511754068715,885.9076853526221,High,Evening
2541,2020-04-18 00:00,2020-04-15 20:00:00,Delhi,28.7041,77.1025,DOMESTIC VIOLENCE,Other,37,M,Blunt Object,Violent Crime,5,No,,20,Wednesday,4,0,3.0,28.704,77.102,5400.0,2.385925925925926,2161.315777777778,,Evening
2542,2020-04-16 16:00,2020-04-15 21:00:00,Ahmedabad,23.0225,72.5714,SHOPLIFTING,Other,73,M,Poison,Other Crime,1,No,,21,Wednesday,4,0,2.0,23.022,72.571,1817.0,2.4446890478811225,727.9334067143644,High,Night
2543,2020-04-18 17:00,2020-04-15 22:00:00,Hyderabad,17.385,78.4867,BURGLARY,Burglary,20,M,Knife,Other Crime,3,Yes,2020-07-06 17:00,22,Wednesday,4,0,3.0,17.385,78.487,2881.0,2.393960430406109,1153.718188129122,,Night
2544,2020-04-16 06:00,2020-04-15 23:00:00,Mumbai,19.076,72.8777,DRUG OFFENSE,Other,51,F,,Other Crime,1,Yes,2020-07-03 06:00,23,Wednesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Night
2545,2020-04-17 20:00,2020-04-16 00:00:00,Surat,21.1702,72.8311,VEHICLE - STOLEN,Other,34,M,Blunt Object,Violent Crime,5,Yes,2020-05-06 20:00,0,Thursday,4,0,3.0,21.17,72.831,1111.0,2.2997299729973,445.6899189918992,High,Night
2546,2020-04-18 05:00,2020-04-16 01:00:00,Kolkata,22.5726,88.3639,BURGLARY,Burglary,33,M,Explosives,Other Crime,3,No,,1,Thursday,4,0,2.0,22.573,88.364,2518.0,2.3669579030976964,1008.3100873709292,,Night
2547,2020-04-18 03:00,2020-04-16 02:00:00,Mumbai,19.076,72.8777,ASSAULT,Assault,61,F,Poison,Violent Crime,5,Yes,2020-05-29 03:00,2,Thursday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Night
2548,2020-04-18 10:00,2020-04-16 03:00:00,Delhi,28.7041,77.1025,HOMICIDE,Homicide,12,F,,Other Crime,5,Yes,2021-06-25 10:00,3,Thursday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Night
2549,2020-04-16 06:00,2020-04-16 04:00:00,Mumbai,19.076,72.8777,CYBERCRIME,Other,76,M,Poison,Other Crime,1,Yes,2020-05-12 06:00,4,Thursday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Night
2550,2020-04-16 09:00,2020-04-16 05:00:00,Pune,18.5204,73.8567,COUNTERFEITING,Other,54,F,Other,Other Crime,1,Yes,2020-06-18 09:00,5,Thursday,4,0,2.0,18.52,73.857,2212.0,2.3589511754068715,885.9076853526221,High,Morning
2551,2020-04-16 14:00,2020-04-16 06:00:00,Thane,,,DOMESTIC VIOLENCE,Other,64,F,Firearm,Violent Crime,5,No,,6,Thursday,4,0,5.0,,,,,,,Morning
2552,2020-04-18 02:00,2020-04-16 07:00:00,Agra,,,BURGLARY,Burglary,33,F,,Other Crime,3,Yes,2020-08-20 02:00,7,Thursday,4,0,2.0,,,,,,,Morning
2553,2020-04-16 20:00,2020-04-16 08:00:00,Delhi,28.7041,77.1025,IDENTITY THEFT,Identity Theft,73,M,Firearm,Violent Crime,2,Yes,2020-06-18 20:00,8,Thursday,4,0,5.0,28.704,77.102,5400.0,2.385925925925926,2161.715777777778,,Morning
2554,2020-04-18 15:00,2020-04-16 09:00:00,Indore,,,ARSON,Other,40,F,Other,Fire Accident,1,No,,9,Thursday,4,0,2.0,,,,,,,Morning
2555,2020-04-17 13:00,2020-04-16 10:00:00,Thane,,,VEHICLE - STOLEN,Other,36,F,Firearm,Violent Crime,5,No,,10,Thursday,4,0,5.0,,,,,,,Morning
2556,2020-04-19 00:00,2020-04-16 11:00:00,Srinagar,,,EXTORTION,Other,75,M,Explosives,Other Crime,1,Yes,2020-05-24 00:00,11,Thursday,4,0,2.0,,,,,,,Morning
2557,2020-04-16 21:00,2020-04-16 12:00:00,Delhi,28.7041,77.1025,SEXUAL ASSAULT,Assault,76,M,Explosives,Violent Crime,5,No,,12,Thursday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Afternoon
2558,2020-04-18 20:00,2020-04-16 13:00:00,Hyderabad,17.385,78.4867,BURGLARY,Burglary,51,M,,Other Crime,3,Yes,2020-06-20 20:00,13,Thursday,4,0,2.0,17.385,78.487,2881.0,2.393960430406109,1153.518188129122,,Afternoon
2559,2020-04-17 02:00,2020-04-16 14:00:00,Bangalore,12.9716,77.5946,ASSAULT,Assault,56,F,Blunt Object,Violent Crime,5,No,,14,Thursday,4,0,3.0,12.972,77.595,3588.0,2.38015607580825,1436.5140468227423,,Afternoon
2560,2020-04-16 20:00,2020-04-16 15:00:00,Hyderabad,17.385,78.4867,TRAFFIC VIOLATION,Other,59,F,Blunt Object,Traffic Fatality,1,No,,15,Thursday,4,0,3.0,17.385,78.487,2881.0,2.393960430406109,1153.718188129122,,Afternoon
2561,2020-04-17 03:00,2020-04-16 16:00:00,Pune,18.5204,73.8567,BURGLARY,Burglary,26,F,Other,Other Crime,3,No,,16,Thursday,4,0,2.0,18.52,73.857,2212.0,2.3589511754068715,885.9076853526221,High,Afternoon
2562,2020-04-18 08:00,2020-04-16 17:00:00,Bangalore,12.9716,77.5946,DRUG OFFENSE,Other,61,F,Knife,Other Crime,1,Yes,2020-07-12 08:00,17,Thursday,4,0,3.0,12.972,77.595,3588.0,2.38015607580825,1436.5140468227423,,Evening
2563,2020-04-18 09:00,2020-04-16 18:00:00,Bhopal,23.2599,77.4126,ROBBERY,Robbery,58,F,Firearm,Violent Crime,3,No,,18,Thursday,4,0,5.0,23.26,77.413,690.0,2.408695652173913,277.7226086956522,High,Evening
2564,2020-04-18 17:00,2020-04-16 19:00:00,Lucknow,26.8467,80.9462,SEXUAL ASSAULT,Assault,63,F,Knife,Violent Crime,5,No,,19,Thursday,4,0,3.0,26.847,80.946,1456.0,2.3777472527472527,583.7133241758241,High,Evening
2565,2020-04-18 16:00,2020-04-16 20:00:00,Bangalore,12.9716,77.5946,FRAUD,Other,11,F,Explosives,Other Crime,1,No,,20,Thursday,4,0,2.0,12.972,77.595,3588.0,2.38015607580825,1436.3140468227425,,Evening
2566,2020-04-18 05:00,2020-04-16 21:00:00,Meerut,28.9845,77.7064,DOMESTIC VIOLENCE,Other,36,F,Firearm,Violent Crime,5,Yes,2020-06-18 05:00,21,Thursday,4,0,5.0,28.984,77.706,395.0,2.551898734177215,159.76556962025316,High,Night
2567,2020-04-18 14:00,2020-04-16 22:00:00,Kanpur,26.4499,80.3319,ARSON,Other,74,M,Poison,Fire Accident,1,No,,22,Thursday,4,0,2.0,26.45,80.332,1112.0,2.372302158273381,445.911690647482,High,Night
2568,2020-04-19 07:00,2020-04-16 23:00:00,Delhi,28.7041,77.1025,VANDALISM,Vandalism,18,M,Explosives,Other Crime,2,Yes,2020-04-29 07:00,23,Thursday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Night
2569,2020-04-17 18:00,2020-04-17 00:00:00,Mumbai,19.076,72.8777,EXTORTION,Other,42,M,Poison,Other Crime,1,No,,0,Friday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Night
2570,2020-04-19 09:00,2020-04-17 01:00:00,Surat,21.1702,72.8311,KIDNAPPING,Kidnapping,41,F,Firearm,Other Crime,4,No,,1,Friday,4,0,5.0,21.17,72.831,1111.0,2.2997299729973,446.0899189918992,High,Night
2571,2020-04-17 05:00,2020-04-17 02:00:00,Ahmedabad,23.0225,72.5714,TRAFFIC VIOLATION,Other,76,M,,Traffic Fatality,1,No,,2,Friday,4,0,2.0,23.022,72.571,1817.0,2.4446890478811225,727.9334067143644,High,Night
2572,2020-04-19 03:00,2020-04-17 03:00:00,Delhi,28.7041,77.1025,ARSON,Other,10,F,Firearm,Fire Accident,1,No,,3,Friday,4,0,5.0,28.704,77.102,5400.0,2.385925925925926,2161.715777777778,,Night
2573,2020-04-19 11:00,2020-04-17 04:00:00,Rajkot,,,ILLEGAL POSSESSION,Other,33,M,Poison,Other Crime,1,Yes,2020-05-23 11:00,4,Friday,4,0,2.0,,,,,,,Night
2574,2020-04-18 23:00,2020-04-17 05:00:00,Hyderabad,17.385,78.4867,FIREARM OFFENSE,Other,60,F,Poison,Fire Accident,1,Yes,2020-05-19 23:00,5,Friday,4,0,2.0,17.385,78.487,2881.0,2.393960430406109,1153.518188129122,,Morning
2575,2020-04-20 03:00,2020-04-17 06:00:00,Bangalore,12.9716,77.5946,ASSAULT,Assault,65,F,Other,Violent Crime,5,No,,6,Friday,4,0,2.0,12.972,77.595,3588.0,2.38015607580825,1436.3140468227425,,Morning
2576,2020-04-17 18:00,2020-04-17 07:00:00,Indore,,,SEXUAL ASSAULT,Assault,38,F,Knife,Violent Crime,5,No,,7,Friday,4,0,3.0,,,,,,,Morning
2577,2020-04-19 14:00,2020-04-17 08:00:00,Indore,,,TRAFFIC VIOLATION,Other,14,F,,Traffic Fatality,1,Yes,2020-05-07 14:00,8,Friday,4,0,2.0,,,,,,,Morning
2578,2020-04-17 17:00,2020-04-17 09:00:00,Delhi,28.7041,77.1025,VANDALISM,Vandalism,55,F,Knife,Other Crime,2,Yes,2020-07-01 17:00,9,Friday,4,0,3.0,28.704,77.102,5400.0,2.385925925925926,2161.315777777778,,Morning
